"id","nombre","descripcion","tipo_capa","publicar_geoperu","fecha_registro","id_categoria","id_institucion","usuario_crea","fecha_crea","usuario_modifica","fecha_modifica","id-2","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_crea-2","fecha_crea-2","usuario_modifica-2","fecha_modifica-2","id-3","id_capa-2","id_tipo_servicio-2","direccion_web-2","nombre_capa-2","titulo_capa-2","estado-2","id_layer-2","usuario_crea-3","fecha_crea-3","usuario_modifica-3","fecha_modifica-3"
300,"Conseciones",NULL,1,True,NULL,14,264,1,"2026-02-18 10:17:21.177581-05",NULL,NULL,143,300,11,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_0802/MapServer/WMSServer?request=GetCapabilities&service=WMS","2","Concesiones",True,42457,1,"2026-02-18 11:14:23.709268-05",NULL,"2026-02-20 09:15:52.759015-05",143,300,11,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_0802/MapServer/WMSServer?request=GetCapabilities&service=WMS","2","Concesiones",True,42457,1,"2026-02-18 11:14:23.709268-05",NULL,"2026-02-20 09:15:52.759015-05"
300,"Conseciones",NULL,1,True,NULL,14,264,1,"2026-02-18 10:17:21.177581-05",NULL,NULL,2019,300,12,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_0802/MapServer/WFSServer?request=GetCapabilities&service=WFS","servicios_ogc_Peru_GRU_0802:Concesiones","Concesiones",True,42457,1,"2026-02-18 11:14:23.709268-05",NULL,"2026-02-18 16:02:18.652893-05",2019,300,12,"https://ider.regionucayali.gob.pe/geoservicios/services/servicios_ogc/Peru_GRU_0802/MapServer/WFSServer?request=GetCapabilities&service=WFS","servicios_ogc_Peru_GRU_0802:Concesiones","Concesiones",True,42457,1,"2026-02-18 11:14:23.709268-05",NULL,"2026-02-18 16:02:18.652893-05"
