"id","id_capa","id_tipo_servicio","direccion_web","nombre_capa","titulo_capa","estado","id_layer","usuario_registro","fecha_registro"
1566,490,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260126120324___perso_munic_2025/wms?service=WMS&request=GetCapabilities","20260126120324___perso_munic_2025","20260126120324___perso_munic_2025",True,42138,1,"2026-02-18 11:14:23.709268-05"
1567,1946,11,"https://idesep.senamhi.gob.pe:443/geoserver/g_06_09/06_09_011_03_001_512_0000_00_00/ows?service=WMS&request=GetCapabilities","06_09_011_03_001_512_0000_00_00","TENDENCIA DE TEMP MEDIA 11 NOVIEMBRE - PERU",True,41797,1,"2026-02-18 11:14:23.709268-05"
1568,1127,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20250924154343___Sin_afirmar_jun25/wms?service=WMS&request=GetCapabilities","20250924154343___Sin_afirmar_jun25","20250924154343___Sin_afirmar_jun25",True,41422,1,"2026-02-18 11:14:23.709268-05"
1569,1012,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20240916100011___Pacientes_INEN_Mujer_2022/wms?service=WMS&request=GetCapabilities","20240916100011___Pacientes_INEN_Mujer_2022","20240916100011___Pacientes_INEN_Mujer_2022",True,40094,1,"2026-02-18 11:14:23.709268-05"
1570,1544,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260115171901___Capa4_Juntos_Nov2026/wms?service=WMS&request=GetCapabilities","20260115171901___Capa4_Juntos_Nov2026","20260115171901___Capa4_Juntos_Nov2026",True,42115,1,"2026-02-18 11:14:23.709268-05"
1571,211,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_finan_desmbolso_modalidad_csp_2022_/wms?service=WMS&request=GetCapabilities","peru_finan_desmbolso_modalidad_csp_2022_","peru_finan_desmbolso_modalidad_csp_2022",True,38332,1,"2026-02-18 11:14:23.709268-05"
1572,651,11,"https://espacialg.geoperu.gob.pe/geoserver/geoperu/peru_pre_e_00_02_pcm_/wms?service=WMS&request=GetCapabilities","peru_pre_e_00_02_pcm_","SECTORES GOBIERNO NACIONAL | PCM | Proyectos - Departamental",True,599,1,"2026-02-18 11:14:23.709268-05"
1573,296,11,"https://portal.regionsanmartin.gob.pe/server/services/IDERSAM/ZEE/MapServer/WMSServer?request=GetCapabilities&service=WMS","","",False,0,1,"2026-02-18 11:14:23.709268-05"
1574,443,11,"https://espacialg.geoperu.gob.pe/geoserver/subsistemas/20260127104031___1_acceso_internet_dist/wms?service=WMS&request=GetCapabilities","20260127104031___1_acceso_internet_dist","20260127104031___1_acceso_internet_dist",True,42141,1,"2026-02-18 11:14:23.709268-05"
1575,1643,11,"https://geoservicios.sernanp.gob.pe/arcgis/services/gestion_de_anp/peru_sernanp_0213/MapServer/WMSServer?request=Getcapabilities&service=WMS","0","Zonificacion ACP",True,42330,1,"2026-02-18 11:14:23.709268-05"
