id_layer;idtematica;idsubtematico;ide;geo;capa;entidad;frec_act;fecha_reg;fecha_prox;wms;wfs;arcgis;wmts;responsable_geo;estado_proc;fecha_proc;responsable_pub;estado_pub_geo;fecha_pub_geo;estado_ide_proc;fecha_proc_ide;estado_pub_ide;fecha_pub_ide;descripcion;observacion;estado_actu;id_institucion;id_categoria
38790;804;2132;SI;SI;Aprobados;Autoridad Nacional del Agua (ANA);Servicios;01/01/2019;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/Consejos_de_Cuencas/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/Consejos_de_Cuencas/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;04/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;15/01/2024;Publicado;15/01/2024;Son espacios institucionales de diálogo, donde los actores relacionados a la gestión del agua en las cuencas discuten sus problemas a fin de llegar a consensos, tomando acuerdos y comprometiéndose con la implementación de las acciones en sus respectivas cuencas. A la fecha se han creado doce (12) Consejos de Recursos Hídricos de Cuencas y un Comité de Subcuenca en la Amazonía, ellos son: Tumbes, Chira-Piura, Chancay-Lambayeque, Chancay-Huaral, Quilca-Chili, Caplina-Locumba, Chillón-Rímac-Lurín, Jequetepeque-Zaña, Tambo-Santiago-Ica, Urubamba Vilcanota, Pampas Mantaro y el Comité de Subsuenca Mayo.;Sin observación;ACTUALIZADO;172;2
38791;804;2132;NO;SI;Propuesta;Autoridad Nacional del Agua (ANA);Servicios;01/01/2019;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/Propuesta_CRHC/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;Sin responsable;Por actualizar;NULL;Sin responsable;Publicado;30/12/2023;NULL;NULL;NULL;NULL;"En el territorio nacional existen doce (12) Consejo de Recursos Hídricos de Cuencas creados y 01 Comité de Subcuenca de la Amazonía. La propuesta de Consejos de Recursos Hídricos de Cuenca establece la ampliación de los consejos creados tales como: Consejo Quilca-Chili, Chancay-Huaral, Chancay-Lambayeque; de tal manera que se integren en forma contiguas uno (01) o dos (02) ALA. Así mismo establece la creación de nuevos ámbitos de Consejos, acogiendo las recomendaciones del Estudio Identificación y priorización de Ámbitos para la creación de CRHC.";Sin observación;ACTUALIZADO;172;2
38792;804;2132;NO;SI;Sector Mayor;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/SectorHidraulicoMayor/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;NULL;NULL;NULL;NULL;El Sector Hidráulico Mayor está conformado por infraestructura hidráulica mayor que permite el suministro de agua hasta los sectores hidráulicos menores, así como el sistema de drenaje principal.Se clasifican en: 1. Sector Hidráulico Mayor Clase A: Se distingue por comprender, entre otras, obras de regulación o almacenamiento de agua con volúmenes superiores a ciento ochenta (180) millones de metros cúbicos.2. Sector Hidráulico Mayor Clase B: Se distingue por comprender, entre otras, obras de regulación o almacenamiento con volúmenes de agua entre diez (10) y ciento ochenta (180) millones de metros cúbicos. 3. Sector Hidráulico Mayor Clase C: Se distingue por comprender, entre otras, obras de trasvase de caudales de régimen de descarga permanente. En esta clase de sector no existen obras de regulación.;Sin observación;ACTUALIZADO;172;2
38793;804;2132;NO;SI;Sector Menor Clase A;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/SectorHidraulicoMenorA/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;NULL;NULL;NULL;NULL;Se distingue por comprender, entre otras, obras de regulación o almacenamiento de agua con volúmenes superiores a ciento ochenta (180) hectómetros cúbicos (hm3);Sin observación;ACTUALIZADO;172;2
38794;804;2132;NO;SI;Sector Menor Clase B;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/SectorHidraulicoMenorB/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;NULL;NULL;NULL;NULL;Se distingue por comprender, entre otras, obras de almacenamiento menores a diez (10) millones de metros cúbicos o de derivación en uno o más puntos de una fuente natural de agua con régimen de descarga no permanente.;Sin observación;ACTUALIZADO;172;2
38795;804;2132;NO;SI;Sector Menor Clase C;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/SectorHidraulicoMenorC/MapServer/WMSServer?request=GetCapabilities&service=WMS;;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;NULL;NULL;NULL;NULL;Se distingue por conformarse a partir de una o más captaciones de agua en diferentes fuentes naturales de agua (río, quebrada o manantial).;Sin observación;ACTUALIZADO;172;2
38796;804;2132;SI;SI;Unidades Hidrográficas;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/ws_UnidadesHidro/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/ws_UnidadesHidro/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;15/01/2024;Publicado;15/01/2024;Espacios geográficos limitados por líneas divisorias de aguas, relacionadas espacialmente por sus códigos, cuya organización está estructurada jerárquicamente por niveles, en el que la superficie de drenaje es el único criterio de decisión organizativa.;Sin observación;ACTUALIZADO;172;2
38797;804;2132;SI;SI;AAA;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/Autoridad_Administrativa_del_Agua/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/Autoridad_Administrativa_del_Agua/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;15/01/2024;Publicado;15/01/2024;Órganos desconcentrados de la Autoridad Nacional del Agua que dirigen y ejecutan en sus ámbitos territoriales la gestión de los recursos hídricos dentro del marco de las políticas y normas dictadas por el nivel central de la Autoridad Nacional del Agua. El ámbito territorial de las autoridades administrativas del agua se establece por la agrupación de unidades hidrográficas indivisas y contiguas y alcanza el número de 14 a nivel nacional.;Sin observación;ACTUALIZADO;172;2
38798;804;2132;SI;SI;ALA;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/Adminitracion_Local_Agua/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/Adminitracion_Local_Agua/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;08/03/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;17/01/2024;Publicado;17/01/2024;Unidades orgánicas de las autoridades administrativas del agua que administran los recursos hídricos y sus bienes asociados en sus respectivos ámbitos territoriales. Sus funciones están establecidas en el Reglamento de Organización y Funciones de la Autoridad Nacional del Agua.;Sin observación;ACTUALIZADO;172;2
38799;804;2133;SI;SI;Principales Presas;Autoridad Nacional del Agua (ANA);Servicios;01/01/2021;06/01/2026;https://geosnirh.ana.gob.pe/server/services/Público/PrincipalesPresas/MapServer/WMSServer?request=GetCapabilities&service=WMS;https://geosnirh.ana.gob.pe/server/services/Público/PrincipalesPresas/MapServer/WFSServer?request=GetCapabilities&service=WFS;;;Luis Rodriguez;Actualización;11/09/2024;Luis Rodriguez;Publicado;30/12/2023;Actualización;08/03/2024;Publicado;08/03/2024;En el Perú se cuenta con veintidós principales embalses, los mismos que en total presentan un volumen de almacenamiento, aproximadamente de 3 845.40 hm3. Además, en las cuencas Chillón, Rímac, Lurín y Alto Mantaro, se cuenta con tres sistemas regulados, Marcapomacocha, Santa Eulalia y Yuracmayo, los mismos que comprenden un conjunto de lagunas afianzadas, almacenando un volumen total de 361.35 hm3, con la finalidad de abastecer de agua potable a la ciudad de Lima.;Sin observación;ACTUALIZADO;172;2
