n_documento,f_documento,f_recepcion,url_documento,usuario_registro,fecha_registro
OFICIO N° 000019-2026-SANIPES-GG,2026-02-05,2026-02-09,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/b409644b-1cf1-4a41-9e89-7db0e401d42d/OFICIO%20N%c2%b0%20000019-2026-SANIPES-GG.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA EJECUTIVA N° 016-2023-SANIPES-PE,2023-02-21,2026-02-11,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/c2254014-ccde-4563-b965-4d75f4e0726e/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20EJECUTIVA%20N%c2%b0%20016-2023-SANIPES-PE.pdf,1,2026-03-27
INFORME LEGAL N° 014-2023-AGROBANCO,2023-02-07,2023-02-07,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/a8ba18fe-ee06-4e15-ae60-9ef487e049a2/INFORME%20LEGAL%20N%c2%b0%20014-2023-AGROBANCO.pdf,1,2026-03-27
OFICIO N° 000010-2022-SERVIR-GG,2022-01-20,2022-01-20,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/779c1965-4cfb-463d-b051-0395f2b225a0/OFICIO%20N%c2%b0%20000010-2022-SERVIR-GG.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA EJECUTIVA N° 000162-2021-SERVIR-PE,2021-12-28,2022-12-28,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/d419c27f-170c-4cc5-a23e-49f8b97488c2/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20EJECUTIVA%20N%c2%b0%20000162-2021-SERVIR-PE.pdf,1,2026-03-27
RESOLUCIÓN DE PRESIDENCIA N° 006-2022-BN-1000,2024-12-26,2024-12-26,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/592d3cb5-2120-4335-a6aa-6f7ba3e38c4d/RESOLUCI%c3%93N%20DE%20PRESIDENCIA%20N%c2%b0%20006-2022-BN-1000.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 021-2017-PERÚ COMPRAS,2017-03-09,2017-03-09,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/20c9a735-1fd8-4109-81d6-450de6ebec40/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20021-2017-PER%c3%9a%20COMPRAS.pdf,1,2026-03-27
RESOLUCIÓN DE ACUERDO DE DIRECTORIO N° 0092-2022-APN-DIR,2022-11-15,2024-12-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/5dbb70f6-50ff-4670-ad0e-d2eb525bfd6f/RESOLUCI%c3%93N%20DE%20ACUERDO%20DE%20DIRECTORIO%20N%c2%b0%200092-2022-APN-DIR.pdf,1,2026-03-27
RESOLUCIÓN EJECUTIVA REGIONAL N° 197-2023-GOBIERNO REGIONAL PIURA-GR,2023-01-27,2023-01-27,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/ae9a930c-6df0-409c-a4c7-fb6b30cca47c/RESOLUCI%c3%93N%20EJECUTIVA%20REGIONAL%20N%c2%b0%20197-2023-GOBIERNO%20REGIONAL%20PIURA-GR.pdf,1,2026-03-27
OFICIO N° 00004-2024-PROMPERU-GG-OTI,2024-09-23,2024-09-23,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/20cef77b-aea7-4e86-b250-e991f4faa043/OFICIO%20N%c2%b0%2000004-2024-PROMPERU-GG-OTI.pdf,1,2026-03-27
OFICIO N° 000400-2020-DV-GG,2020-11-12,2020-11-12,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/1b8de569-396e-44fb-8624-477e8093c331/OFICIO%20N%c2%b0%20000400-2020-DV-GG.pdf,1,2026-03-27
RESOLUCIÓN JEFATURAL N° 000231-2025-BNP,2025-09-23,2025-09-29,https://repositorio.pngd.gob.pe/share/proxy/alfresco/slingshot/node/content/workspace/SpacesStore/e4ea6739-3a38-408b-9bc1-634446cc4a50/RESOLUCI%c3%93N%20JEFATURAL%20N%c2%b0%20000231-2025-BNP.pdf,1,2026-03-27
